chip_id,decoder,sndr_db,snr_db,sfdr_db,thd_db,enob,dnl_min_lsb,dnl_max_lsb,inl_min_lsb,inl_max_lsb,missing_codes,saturation_fraction,code_rmse_to_oracle_affine_lsb,code_max_to_oracle_affine_lsb,code_gain_to_oracle,weight_rmse_gain_aligned_lsb,weight_max_gain_aligned_lsb
16,CAL_ZERO_COMP_ERROR_SRM,93.67358204477823,96.25940332736167,107.57821763439014,-108.80749096679165,15.268036884514656,-0.5031968138676106,1.4840159306619465,-1.49787133396404,1.299668874172179,0,0.0,0.541046677065839,1.6363829635665752,1.0064312284120494,0.19356174346931815,0.38387220401546074
16,ORACLE_SRM,97.16229585301463,97.54522371855417,122.23816335909888,-123.64684761527757,15.847557450666882,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
17,NOMINAL_SRM,61.51604790588026,80.73298929165429,66.30589472300626,-65.10726760315232,9.9262538049635,-1.0,1.4998664825397312,-53.794833255766115,54.294806552274096,1089,0.0,20.000267017918024,38.54448109249097,1.0008747898803214,9.286434834197099,34.39694274309113
17,CAL_CURRENT_SRM,95.07171953211873,96.51292879053122,109.65305411358015,-108.90245798764053,15.500285636564573,-0.5067521171892881,0.9729915312428472,-0.9613183794918729,0.9478141451132965,0,0.0,0.45960995567103763,1.415136515177437,1.0136913515416919,0.2285551104139296,0.6163655695201911
17,CAL_ZERO_COMP_ERROR_SRM,93.52827760872943,95.84245917381494,109.79398835664163,-111.14087641258607,15.243899935004888,-0.5036087586785687,0.985564965285725,-1.268284122987706,1.2610666056305688,0,0.0,0.5286247593144097,1.7950557363583357,1.0072751349580709,0.3271402183994506,0.8738720610487007
17,ORACLE_SRM,97.3424632196594,97.60563588030693,121.83174306469446,-125.05899527055709,15.877485584661029,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
18,NOMINAL_SRM,55.68220961141323,78.64333319292386,59.71874483764654,-57.97968790003614,8.95717767631449,-1.0,2.9951170384838406,-99.872219000824,99.87099826044496,895,0.0,41.18784728350164,76.61671680206564,0.999381551051403,18.072733251272435,57.55075886314444
18,CAL_CURRENT_SRM,95.42262012890107,96.84990244754098,106.54846862152118,-104.93109113201052,15.558574772242704,-0.5075685903500473,0.9697256385998108,-1.0260170293282875,1.010879848628193,0,0.0,0.45292688188406277,1.4246598980480485,1.0153626190420637,0.20061720263871669,0.5057094240135385
18,CAL_ZERO_COMP_ERROR_SRM,93.42543766285772,95.95343068538253,104.47090004769254,-103.37503936331922,15.226816887517893,-1.0,0.9717398602252267,-1.169743949705497,1.1556138798181097,4,0.0,0.540934278642466,1.7635205520327872,1.014335074288113,0.21453148686684287,0.4728257255194208
18,ORACLE_SRM,97.14242324681027,97.57746874408326,123.5744295399973,-122.15457857544467,15.844256353290742,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
19,NOMINAL_SRM,62.84417061671759,81.04585147229758,65.82627397321045,-63.92359840242803,10.14687219546804,-1.0,1.4995040817883574,-38.33647669184389,38.273594262606785,615,0.0,18.670778544064305,49.825483480408366,1.0008341148585849,10.722622341350315,28.398118258184695
19,CAL_CURRENT_SRM,95.31895871083107,96.28264293112736,112.98342399080154,-112.16204429441265,15.541355267579911,-0.5046082949308756,0.9815668202764978,-0.928571428571431,0.9193548387096797,0,0.0,0.44727562783303654,1.3459246894490207,1.0092960906123618,0.20092313365035674,0.6177658196407059
19,CAL_ZERO_COMP_ERROR_SRM,94.47229052479216,95.72070469417534,115.6748007674336,-121.90116521618721,15.400712711759494,-0.5053712576677756,0.9785149693288977,-1.1704763939329201,1.119388409070101,0,0.0,0.4790802616382309,1.5300406980077241,1.010852921530848,0.2319232421284686,0.6675366966900036
19,ORACLE_SRM,97.10481014464291,97.3681500095406,123.01170952015367,-124.31061332914025,15.838008329674903,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
20,NOMINAL_SRM,56.94779243858683,79.50796065891522,60.849378168641536,-59.07773781714626,9.167407381825056,-1.0,6.990844586861982,-79.35294117647062,79.34836346990151,1302,0.0,37.89717305792161,80.00307236819212,1.0013470226830403,16.564677990982467,52.379059518527356
20,CAL_CURRENT_SRM,95.4976215700066,96.42160461848123,114.70357444930308,-113.50343967558348,15.571033483389801,-0.5115970336008788,0.9536118655964845,-0.9069185460982083,0.8837244788964506,0,0.0,0.4380414004402127,1.3230344633943787,1.0237483321532377,0.22152573663680042,0.5591020559037574
20,CAL_ZERO_COMP_ERROR_SRM,93.02430658468137,95.91735027359407,105.64211378947162,-104.80797974904108,15.160183818053383,-0.5079118028534371,1.4604409857328142,-1.726070038910528,1.7102464332036502,0,0.0,0.571100990753872,1.945983625981171,1.0160663239503962,0.24953191995133606,0.590046972425796
20,ORACLE_SRM,97.20348224936777,97.64617575391271,123.50393472961954,-125.11010128317459,15.854399044745476,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
21,NOMINAL_SRM,61.710002450652574,79.2153639607092,70.76752358609697,-69.25030801082183,9.958472167882489,-1.0,1.496910048065919,-52.22027924009744,52.21904325932387,941,0.0,20.583247364722624,47.551024525488174,1.0009196964223328,10.270802664928407,29.738395902417324
21,CAL_CURRENT_SRM,95.33000145384429,96.56093961032126,110.9563995926999,-111.03389276625882,15.543189610273139,-0.510078583962768,0.9596856641489282,-1.0973373006790266,1.0771801327534907,0,0.0,0.44673459826195905,1.3004167339204287,1.0205597200573941,0.17207355485101056,0.5384588568562165
21,CAL_ZERO_COMP_ERROR_SRM,92.24969990544999,96.23910960877456,104.13338641502006,-103.58299780010286,15.031511612200994,-0.5085909604174932,0.965636158330027,-1.406842249824519,1.348429822687444,0,0.0,0.6052446486100677,1.8741172681457101,1.017477759405025,0.24643770317449784,0.7545000503341726
21,ORACLE_SRM,97.06998694333672,97.40491330673723,122.70296796309833,-124.37666330827334,15.832223744740318,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
