unit_cap_sigma_pct,chip_id,decoder,sndr_db,sfdr_db,enob,code_rmse_to_oracle_affine_lsb,weight_rmse_gain_aligned_lsb
1.0,98,CAL_CURRENT_SRM,95.04573073444146,109.5717248650227,15.495968560538449,0.4753663044881659,0.20366314536984717
1.0,98,ORACLE_SRM,97.17833814477527,120.90746211724444,15.85022228318526,1.5806672378630364e-15,0.0
1.0,99,NOMINAL_SRM,65.81118346097341,70.11610544826692,10.639731471922493,11.872161834399868,7.7362740665015295
1.0,99,CAL_CURRENT_SRM,95.65739388806415,109.52708098805282,15.597573735558829,0.45138065487511975,0.15886656115344683
1.0,99,ORACLE_SRM,97.31950267345952,121.42769286494774,15.873671540441782,1.0443783297230098e-11,0.0
1.0,100,NOMINAL_SRM,58.35082116904733,61.067409897918175,9.400468632732116,27.998408002548487,13.365824653686579
1.0,100,CAL_CURRENT_SRM,95.38034903865521,114.31946767920121,15.551552996454355,0.46873707011925236,0.218488511193174
1.0,100,ORACLE_SRM,97.14105865214106,120.78054212460472,15.844029676435392,3.0772616014094122e-12,0.0
1.0,101,NOMINAL_SRM,66.45667694464063,71.7644034768909,10.74695630309645,11.0209731318434,5.514860448753109
1.0,101,CAL_CURRENT_SRM,95.33024982315649,111.76674734511194,15.54323086763397,0.47228567453896786,0.21013153535450296
1.0,101,ORACLE_SRM,97.10896920809759,120.17912867121245,15.838699204002923,4.629942834745121e-15,0.0
1.0,102,NOMINAL_SRM,56.42221712717698,60.445833749642055,9.080102512820098,34.977537344655914,16.796299031816655
1.0,102,CAL_CURRENT_SRM,94.65499077185045,111.3111115579543,15.431061590008381,0.48554549780019907,0.20512488760953673
1.0,102,ORACLE_SRM,97.16413287073226,121.3473185522433,15.847862603111672,4.686666814458603e-15,0.0
1.0,103,NOMINAL_SRM,60.09251811333323,66.79091111157811,9.689787062015487,22.929134281744965,9.984287654923245
1.0,103,CAL_CURRENT_SRM,95.43826432603957,114.1089347740499,15.561173476086308,0.46512863062955073,0.2276847455116071
1.0,103,ORACLE_SRM,97.09766506541939,119.56660686543599,15.836821439438438,1.0443809056953623e-11,0.0
1.0,104,NOMINAL_SRM,57.90645185606165,61.53433271574432,9.326653132236155,29.485327974538354,16.012095945685747
1.0,104,CAL_CURRENT_SRM,96.18057982061073,118.4767133283896,15.684481697775869,0.4368091243839448,0.1496503457038153
1.0,104,ORACLE_SRM,97.11863023547154,120.78159308415422,15.840304025825837,1.5558496682860466e-11,0.0
1.0,105,NOMINAL_SRM,61.62833773403313,69.57825539824177,9.944906600337731,19.206604293439725,10.708843006084217
1.0,105,CAL_CURRENT_SRM,95.90702353526153,114.26898749103161,15.63904045436238,0.4470072081342726,0.1866040816247359
