chip_id,decoder,weight_rmse_lsb,weight_rmse_gain_aligned_lsb,weight_max_abs_gain_aligned_lsb,static_error_rms_code,static_error_max_abs_code,static_backsteps,dynamic_sndr_db,dynamic_snr_db,dynamic_sfdr_db,dynamic_thd_db,dynamic_enob,saturation_fraction
2,RTL_CAL_GAIN_COMP,0.2395209170622588,0.23811802132145157,0.642776166223225,0.5601075156887672,1.7488888888910878,0,90.66642057305666,91.20031474215851,102.24270756188078,-100.03392460516487,14.768508400839977,0.0
2,ORACLE,0.0,0.0,0.0,0.4043444499505847,0.976512820514472,0,93.47340895154032,93.48933620104943,114.18216563384195,-117.83780541973933,15.234785540122978,0.0
3,NOMINAL,156.8830174417006,156.75521084860497,407.66232723433495,404.03610774800694,805.5655042735052,36,33.36681376989172,37.70360776816547,38.855582676819495,-35.362398264801755,5.250301290679688,0.0
3,RTL_CAL_RAW,169.3507611674339,0.1767412450284835,0.5257660264226232,263.44785371703966,456.619999999999,0,91.84217776391725,92.04849659688355,106.20705624570795,-105.17738317873099,14.96381690430519,0.0
3,RTL_CAL_GAIN_COMP,0.17706282869300213,0.17705663210390474,0.526554458204096,0.4664190009775488,1.3955897435916995,0,91.97471705267832,92.32159219311471,104.33374471464191,-103.12311164897396,14.98583339745487,0.0
3,ORACLE,0.0,0.0,0.0,0.4105298186680526,0.9836239316246065,0,93.2870560415526,93.32838790734505,114.54228199144941,-113.52269859229742,15.203829907234653,0.0
4,NOMINAL,230.0023105996222,229.4893721601513,793.3204699315684,591.2034191547685,966.0169230769243,34,30.404395140563256,39.08395250974575,31.94903279081192,-31.036909712006157,4.7582051728510395,0.0
4,RTL_CAL_RAW,169.9073570224735,0.18986208032098417,0.5302972245962785,264.8910115417333,459.619999999999,0,91.81535429397968,91.9916312980165,105.77615212260514,-105.8190811825796,14.95936117840194,0.0
4,RTL_CAL_GAIN_COMP,0.19173324237995087,0.18974972009365992,0.532096409723632,0.49285077470661476,1.4009914529924572,0,92.0006649468125,92.16544196447218,108.10340348278106,-106.29166969588621,14.99014367887251,0.0
4,ORACLE,0.0,0.0,0.0,0.4106167063150021,0.9701538461558812,0,93.2732086752096,93.28314072752605,112.34792014690146,-119.68562688289182,15.201529680267376,0.0
5,NOMINAL,112.8267707796492,83.13297842441897,199.61464937505116,235.27093669829028,522.4758632478661,25,40.597177059624556,45.03551541510609,43.30733521986858,-42.5346106160533,6.451358315552253,0.0
5,RTL_CAL_RAW,170.31643973083274,0.19863350334498564,0.5940769092844285,263.23896638882536,456.0941196581225,0,91.80688868866449,92.21162601159043,102.32516511240189,-102.31379639669755,14.957954931671841,0.0
5,RTL_CAL_GAIN_COMP,0.19982527255157584,0.1986419168354542,0.5952741298763833,0.4842029192997515,1.5120341880356136,0,91.81773460315881,92.14663391564171,103.23322647924014,-103.1883599255386,14.95975657859781,0.0
5,ORACLE,0.0,0.0,0.0,0.4086001341439924,0.9776752136749565,0,93.3771509675209,93.38373523041116,112.63328123250106,-121.57321416951548,15.218795841780882,0.0
