repeat,decoder,sndr_db,snr_db,sfdr_db,thd_db,enob,aligned_error_rmse_lsb,saturation_fraction
11,ORACLE_NO_SRM_NOISY,90.46075362414231,90.85284260983158,116.28056628639428,-118.86550588165969,14.734344455837594,0.6253637739363476,0.0
11,ORACLE_SRM_22_NOISY,95.87780737526813,96.23075057160418,122.7759194296872,-123.88472059969874,15.634187271639226,0.33517739306861855,0.0
11,ORACLE_SRM_EXPECTED_NOISY,96.73311750807315,97.73745827732344,120.6911651653455,-125.62450298052019,15.77626536678956,0.30375389260381863,0.0
11,SELF_CAL_NO_SRM_NOISY,89.77368909280531,90.52483422725965,105.51462152829231,-105.40733016012237,14.620214135017495,0.6676970319059704,0.0
11,SELF_CAL_SRM_22_NOISY,93.82040619445227,95.026103593041,106.18518006961692,-106.0528014566499,15.292426278148218,0.4190255892640682,0.0
12,ORACLE_NO_SRM_NOISY,90.48784650814093,91.02805952665504,116.49435053136682,-115.26555158614374,14.738844934907132,0.6234576550761395,0.0
12,ORACLE_SRM_22_NOISY,95.87540828404288,96.12500346492722,120.94634023074293,-122.25839399513391,15.63378875150214,0.33527234253396687,0.0
12,ORACLE_SRM_EXPECTED_NOISY,96.76474069905115,97.74654608768081,121.65642538716568,-127.10299086714029,15.781518388546703,0.30268197548105324,0.0
12,SELF_CAL_NO_SRM_NOISY,89.71710682617469,90.48560851775778,105.79707505333074,-105.40450806496686,14.610815087404433,0.6721149940992879,0.0
12,SELF_CAL_SRM_22_NOISY,93.91930838539061,95.17806477531428,105.9228624914449,-105.83494724554298,15.308855213520035,0.41428707735736187,0.0
13,ORACLE_NO_SRM_NOISY,90.56097173769808,91.06049953580143,115.65606529127137,-115.27341296310182,14.750991983006326,0.6181918849302781,0.0
13,ORACLE_SRM_22_NOISY,95.94405612637789,96.22918638466457,122.32909709578415,-121.53825194053262,15.645192047571078,0.332632595178201,0.0
13,ORACLE_SRM_EXPECTED_NOISY,96.80932688001326,97.81733070983142,121.75822442872457,-124.4193824811642,15.788924730899213,0.30118908403079764,0.0
13,SELF_CAL_NO_SRM_NOISY,89.74183292936996,90.52490728895414,104.86186001676515,-104.73163611480655,14.614922413516606,0.6701467735001605,0.0
13,SELF_CAL_SRM_22_NOISY,93.90979599513302,95.05548669346568,106.01439752144086,-105.92202886947794,15.307275082248012,0.4147528169574339,0.0
14,ORACLE_NO_SRM_NOISY,90.53829614832546,90.92216036680472,116.23544137953408,-119.32967998147824,14.747225273808215,0.619822057234046,0.0
14,ORACLE_SRM_22_NOISY,95.91856952093913,96.17518866940502,121.57341929603515,-125.33062793488476,15.64095839218258,0.33370870835429933,0.0
14,ORACLE_SRM_EXPECTED_NOISY,96.72078793541574,97.73606917718118,121.11778944589068,-126.55087420154318,15.774217265019226,0.3042434607483977,0.0
14,SELF_CAL_NO_SRM_NOISY,89.7678716680004,90.57801043542064,105.47490658000493,-105.38695322110806,14.619247785382125,0.6681688932319798,0.0
14,SELF_CAL_SRM_22_NOISY,93.90088062569346,95.09287892054054,106.32363770672842,-106.26682560355312,15.305794123869346,0.41519069066290737,0.0
15,ORACLE_NO_SRM_NOISY,90.6075005787614,90.97551029197541,116.38700347409247,-116.59775157202318,14.758721026372326,0.6148856007738989,0.0
