chip_id,unit_cap_sigma_pct,cap_rel_error_rms_pct,cap_rel_error_max_abs_pct,bridge_rel_error_rms_pct,effective_weight_rel_error_rms_pct,effective_weight_rel_error_max_abs_pct,node_parasitic_ff,comparator_input_ff,critical_redundancy_margin_min_lsb
314,1.2,0.4573510986766323,0.921667202937704,0.5572485194676771,0.6024412379700546,1.2655208104321192,0.41678638622748576,4.967475057347618,29.45274146817232
315,1.2,0.5620242378263016,1.2911875516501747,0.7463435513385338,1.3639240273632638,3.1804213215510413,0.40082735109321066,5.065144285184252,28.84438706477124
316,1.2,0.5621193207377256,1.6869214588364772,0.44689535887428083,0.6593763709541055,1.2194824386785097,0.40392663700642956,5.133956028269346,30.058258949763513
317,1.2,0.38594112303971845,1.1575248864540555,0.11602878367007044,0.403589906721577,0.9309566247550194,0.40516994359376934,4.846791548365122,29.481894476583932
318,1.2,0.6828022837501015,1.5172354682233673,0.21221003796756138,0.7240159047372461,1.9905464834316655,0.40197723729670953,4.930490137719917,29.965573457457992
319,1.2,0.6597574960184106,2.011593215257063,0.9326023158528322,0.9651596649981781,2.3690457658585684,0.40271235865275923,4.903486135493412,30.199081684061213
320,1.2,0.5482959886097474,1.07236988686526,0.30828823694222485,0.6454309476813234,1.0476411255744278,0.4032511648227268,4.8887937533913215,30.242491138086535
321,1.2,1.0356389956116758,3.8243738145335158,0.18626112638917333,1.0218519624100324,3.8114386858655536,0.40554505055205264,5.087097045061151,29.397311872499074
322,1.2,0.5521927283005194,1.4281121393755476,1.0671620707805978,0.7188607394009515,1.372467687661505,0.39089753231914204,5.01850395566524,30.55648999167181
323,1.2,0.4324105286120389,1.016584633885414,0.4682288680029495,0.4514505148250892,1.1563335072418246,0.4035396194249211,4.91517239028794,27.841801564389698
324,1.2,0.4573460045883012,1.1199470503622997,0.379880009666934,0.5737466044619718,1.641089001035545,0.4117911507104965,5.047360469057955,29.171685302639943
325,1.2,0.6054865404173415,1.4406058193002054,0.6815790271599214,0.9071367040277768,1.8339026177599527,0.4159051146434015,4.99025313195227,29.625272632172994
326,1.2,0.5373014653938141,1.2218024390834437,0.5945507920987647,0.7859612309122067,2.1276354395815877,0.40877604664815514,5.079268409672647,30.551654006009812
327,1.2,0.5501046281375461,1.2983704263500124,0.60351967167383,0.7241595586366254,1.6427474646744766,0.405630329010231,4.809741420914067,29.781001219459952
328,1.2,0.38160396419270715,0.9535854138168169,0.6301741816293766,0.628313353925508,1.3024718949983916,0.39042760409692767,4.920458742154613,30.51477499217782
329,1.2,0.5327093290136685,1.4614641103667867,0.6756067826095187,1.1179266128295986,2.6859265662432685,0.4042328485197936,5.128705511683601,30.72766669075962
330,1.2,0.860918988479595,2.041159944501283,0.14933599918091317,0.8789657415303286,2.1542234482233136,0.39980148479675987,5.217574514552878,29.44179021030027
331,1.2,0.5681333921258586,1.2477697894518411,0.2410677518810277,0.588115532831959,1.306137974222954,0.40830586113293843,4.998931979387351,30.018608090127714
332,1.2,0.6395225014735866,1.6075223439931052,0.7164088076880848,0.8296531261398917,2.18951521993056,0.39302873518760156,4.9516926246450215,30.08188646590179
333,1.2,0.3341855032411611,0.7042998644100781,0.3225089160807114,0.3815903467744364,0.688732787507651,0.3951145224148668,5.35558497970303,29.70254896977542
334,1.2,0.6714991366465408,1.6198592206787221,0.42405695627166734,0.7189033886863818,1.6564753793974152,0.41373205809740643,5.2672476788855125,29.386312740114533
335,1.2,0.5638537393491927,1.8057822451771157,0.6999618732928559,0.7624729515187229,2.0412697630762144,0.4032682612059162,4.913463584694321,29.25594458256343
336,1.2,0.5876119768208417,1.8220114690341949,0.46257404218706655,0.6319570491860067,1.1879772397606958,0.3967106778026435,5.237569221575554,29.289273615389533
337,1.2,0.48340976972980454,1.209261792624898,0.48505064070601495,0.6945009280652922,1.667631826534588,0.39375287576473594,4.8765559398140566,29.59646778393042
338,1.2,0.7733586466133626,1.9311829400703153,0.26602416843274707,0.7957106162577948,1.9609833305240687,0.38992520966122235,5.099364678478212,29.0929784455264
339,1.2,0.601711535372604,1.4808822133078796,0.17012013354750855,0.7704661355694424,2.050924184178815,0.3916144237718201,4.977181114797309,27.88701675907879
340,1.2,0.4362128616724818,1.223365625824127,0.3997341354422975,0.4904464787810666,1.0873034405963211,0.3992427816029953,5.081819644298527,30.07940197226715
341,1.2,0.8113079400849805,2.4608002287726833,0.4378485412846897,0.9818665180377568,2.916486721172795,0.3933885899639511,4.7839765902198454,29.846735958152706
342,1.2,0.4189741310266333,1.1105855517107754,1.277324054553127,1.155389329929549,2.449799695484889,0.4070215320976324,5.083907586195854,31.507649221753866
343,1.2,0.5044133514565806,0.9509901502134501,0.41707708830173806,0.5706874009367301,1.2753245753093778,0.39168131240744636,4.839997521805574,29.558760325311994
344,1.2,0.575946329699572,1.8470427488843404,0.41245064511877755,0.7772722656296295,2.0650043418394715,0.3895088260162541,4.922265895415442,29.99286725303027
345,1.2,0.672290876297718,1.6466617856522985,0.5499948628721739,0.655536952222022,1.8758832602868258,0.4023560401365007,5.007347993305075,29.702584002221286
346,1.2,0.789241226739185,1.8686181577995429,0.8342424614857031,0.8146081845958802,1.8500560207928007,0.3999010800880395,4.99699500902896,29.736251897523815
347,1.2,0.598289830977682,1.6205930295123123,0.38220314020465607,0.8671678577740334,2.313887937469461,0.3923774180880317,4.986647814344652,29.695303114233354
