chip_id,decoder,fullscale_sndr_db,fullscale_snr_db,fullscale_sfdr_db,fullscale_thd_db,fullscale_enob,fullscale_saturation_fraction,backoff_sndr_db,backoff_snr_db,backoff_sfdr_db,backoff_thd_db,backoff_enob,backoff_saturation_fraction,dnl_min_lsb,dnl_max_lsb,inl_min_lsb,inl_max_lsb,missing_codes,ramp_saturation_fraction,code_rmse_to_oracle_affine_lsb,code_max_to_oracle_affine_lsb,code_gain_to_oracle,code_offset_to_oracle_lsb,weight_rmse_gain_aligned_lsb,weight_max_gain_aligned_lsb,weight_gain_to_oracle,sum_normalization_scale
219,NOMINAL_SRM,56.739423831675396,76.09795261277515,60.91628423896442,-60.16171455155835,9.132794656424485,0.0029296875,54.34292207017645,74.86044054211118,57.97557546745622,-56.10339841958705,8.73470466282001,0.0,-1.0,1.5001526018617426,-85.42282923851671,85.42289027926141,2087,6.103515625e-05,35.3562076288602,69.40124657707383,0.9987853390955098,-0.0024437811566137514,15.567534035108576,59.50795103461678,0.999253166382618,1.0
219,CAL_CURRENT_SRM,95.25733390709914,96.35486406332312,113.1352460728297,-111.49819995677683,15.531118589219126,0.0,93.71794670920485,94.5691708642269,114.56802248269797,-113.11460102089497,15.275406430100475,0.0,-0.5039597161821927,0.9841611352712292,-0.8439002059967956,0.8359807736324102,0,0.0,0.4491547063696424,1.3701158316835063,1.0079848494682293,-0.001936807435542663,0.18888128554167127,0.655143881471524,1.0079843453539687,1.0
219,CAL_SUM_NORM_SRM,95.39283935790877,96.35824398377927,114.66196011419456,-112.33602844114245,15.553627800317072,0.0,93.70428081303645,94.64049989127457,115.7568630535515,-113.56902925789713,15.273136347680474,0.0,-0.4999923702562068,1.0000305189751728,-0.9927517433964568,0.9927670028840432,0,1.52587890625e-05,0.42538078878929564,1.3260058449559438,0.9999899443786722,2.6015071226716935e-06,0.18888128554170894,0.655143881471524,0.9999898284265245,1.0079945982450877
219,CAL_HEADROOM_GUARD_SRM,95.25733390709914,96.35486406332312,113.1352460728297,-111.49819995677683,15.531118589219126,0.0,93.71794670920485,94.5691708642269,114.56802248269797,-113.11460102089497,15.275406430100475,0.0,-0.5039597161821927,0.9841611352712292,-0.8439002059967956,0.8359807736324102,0,0.0,0.4491547063696424,1.3701158316835063,1.0079848494682293,-0.001936807435542663,0.18888128554167127,0.655143881471524,1.0079843453539687,1.0
219,CAL_ZERO_COMP_ERROR_SRM,61.87131674548464,94.99756274547232,71.9727119564296,-67.27481698679134,9.985268562372864,0.0533447265625,90.66606998966935,93.96167324605621,106.62648910536022,-103.49974616881475,14.768450164396903,0.0,-1.0,1.0071054485314384,-2.0420507794554528,2.0456035037211704,1,0.0035400390625,4.081118410255363,116.18044804170495,0.9964544538247392,-9.029242351990169e-06,0.18252754628487036,0.3328947831305413,0.9964368314149941,1.0
219,ORACLE_SRM,97.13091408633281,97.46720288418061,122.39458705429595,-122.98624498178057,15.842344532613424,0.0,95.36000840991056,95.67621898315295,120.8425601444391,-125.26998264729393,15.548174154470193,0.0,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,-1.1350427322963727e-14,0.0,0.0,1.0,1.0
220,NOMINAL_SRM,56.22731351972416,79.35608060960946,60.025668189990036,-58.50021125221039,9.047726498293052,0.0,56.27283474847751,78.75602930658172,61.10410985025625,-58.928429330313335,9.055288164198922,0.0,-1.0,6.4905012588693065,-90.77647058824041,90.77520408942291,195,0.0,36.54744718756693,75.85559681030372,0.9991675649003721,-0.003130021055565832,16.651345338541603,50.41129308465315,0.9998200068765359,1.0
220,CAL_CURRENT_SRM,95.34842214171368,96.17519568801718,115.66155473239844,-113.60088520932322,15.546249525201608,0.0,93.79792977196324,94.62266029159606,116.55306643585038,-119.40260740430301,15.28869265315004,0.0,-0.5048294804303044,0.9806820782787822,-0.8962233920805683,0.8865644312199595,0,0.0,0.4434904555084706,1.3185269261448411,1.0097583513715886,2.641899639585632e-06,0.2107920604270512,0.6757986889448198,1.0097579254482838,1.0
220,CAL_SUM_NORM_SRM,95.36265573324515,96.14287957183049,116.00667689836189,-114.496193869703,15.548613909176936,0.0,93.65397110805,94.56430544706608,116.77563710764603,-118.2410668970148,15.264779253828904,0.0,-0.5000686655985351,0.9997253376058595,-0.8154268711375601,0.8152895399404898,0,0.0,0.4428093451181903,1.3782633758964948,1.0001372492106866,-4.936963692410912e-08,0.210792060427046,0.6757986889448269,1.0001367237444327,1.0096198864369565
220,CAL_HEADROOM_GUARD_SRM,95.34842214171368,96.17519568801718,115.66155473239844,-113.60088520932322,15.546249525201608,0.0,93.79792977196324,94.62266029159606,116.55306643585038,-119.40260740430301,15.28869265315004,0.0,-0.5048294804303044,0.9806820782787822,-0.8962233920805683,0.8865644312199595,0,0.0,0.4434904555084706,1.3185269261448411,1.0097583513715886,2.641899639585632e-06,0.2107920604270512,0.6757986889448198,1.0097579254482838,1.0
